,ID_hecho,FECHA,ID_ROL,ID_VICTIMA,ID_SEXO,EDAD
217,2017-0085,2017-07-07,2,2,M,84
218,2017-0086,2017-07-09,2,2,F,30
219,2017-0087,2017-07-10,2,2,F,73
220,2017-0088,2017-07-10,2,2,M,43
221,2017-0089,2017-07-13,0,0,M,23
222,2017-0090,2017-07-15,2,2,M,22
223,2017-0091,2017-07-15,1,1,M,58
224,2017-0092,2017-07-24,2,2,M,66
225,2017-0093,2017-07-25,2,2,M,0
226,2017-0094,2017-07-27,4,4,F,56
227,2017-0095,2017-08-06,1,1,M,36
228,2017-0096,2017-08-07,2,2,M,87
229,2017-0098,2017-08-08,2,2,F,61
230,2017-0099,2017-08-17,4,4,M,28
231,2017-0100,2017-08-21,3,1,F,16
232,2017-0101,2017-08-23,2,2,F,61
233,2017-0102,2017-08-24,2,2,M,46
234,2017-0104,2017-08-25,2,2,F,18
235,2017-0106,2017-08-31,2,2,F,85
236,2017-0107,2017-09-01,1,1,M,41
237,2017-0108,2017-09-02,3,3,M,17
238,2017-0108,2017-09-02,3,3,M,10
239,2017-0109,2017-09-04,1,1,M,21
240,2017-0110,2017-09-06,2,2,M,56
241,2017-0111,2017-09-07,2,2,F,79
242,2017-0112,2017-09-10,3,3,M,1
243,2017-0112,2017-09-10,3,3,M,0
244,2017-0113,2017-09-11,2,2,F,76
245,2017-0114,2017-09-15,1,3,M,26
246,2017-0115,2017-09-19,1,1,M,34
247,2017-0116,2017-09-20,1,1,M,22
248,2017-0118,2017-09-22,3,1,F,26
249,2017-0120,2017-10-02,1,1,M,20
250,2017-0123,2017-10-10,2,2,F,36
251,2017-0124,2017-10-12,1,1,M,51
252,2017-0125,2017-10-13,1,1,M,29
253,2017-0126,2017-10-14,3,3,M,39
254,2017-0126,2017-10-14,1,3,M,36
255,2017-0127,2017-10-16,3,1,M,24
256,2017-0128,2017-10-17,2,2,F,60
257,2017-0129,2017-10-26,1,1,M,57
258,2017-0130,2017-10-27,1,3,M,23
259,2017-0132,2017-10-30,1,1,M,23
260,2017-0134,2017-11-06,2,2,F,47
261,2017-0135,2017-11-07,1,1,M,24
262,2017-0136,2017-11-16,2,2,M,55
263,2017-0137,2017-11-17,2,2,F,60
264,2017-0138,2017-11-19,3,1,M,25
265,2017-0139,2017-11-19,3,3,F,15
266,2017-0140,2017-11-19,1,1,M,24
267,2017-0141,2017-11-23,2,2,F,22
268,2017-0143,2017-11-25,1,3,M,50
269,2017-0144,2017-11-26,3,3,F,50
270,2017-0145,2017-11-26,1,1,M,58
271,2017-0147,2017-11-28,1,1,M,49
272,2017-0148,2017-11-29,2,2,F,82
273,2017-0149,2017-11-30,2,2,M,13
274,2017-0150,2017-12-04,2,2,M,56
275,2017-0151,2017-12-04,2,2,M,0
276,2017-0152,2017-12-06,4,4,M,19
277,2017-0153,2017-12-11,3,1,M,0
278,2017-0153,2017-12-11,1,1,M,30
279,2017-0154,2017-12-11,2,2,M,76
280,2017-0155,2017-12-12,0,0,M,77
281,2017-0157,2017-12-17,1,3,M,53
282,2017-0158,2017-12-18,1,1,M,32
283,2017-0159,2017-12-20,1,1,M,27
284,2017-0160,2017-12-22,2,2,F,30
285,2017-0161,2017-12-26,2,2,F,30
286,2018-0001,2018-01-01,2,2,M,83
287,2018-0002,2018-01-03,4,4,F,26
288,2018-0003,2018-01-05,2,2,F,58
289,2018-0004,2018-01-09,1,1,M,39
290,2018-0005,2018-01-09,2,2,M,54
291,2018-0006,2018-01-10,4,4,F,45
292,2018-0007,2018-01-11,1,3,M,46
293,2018-0008,2018-01-12,1,1,F,32
294,2018-0009,2018-01-14,1,1,M,19
295,2018-0010,2018-01-18,1,1,M,40
296,2018-0011,2018-01-19,2,2,M,84
297,2018-0012,2018-01-26,1,1,M,20
298,2018-0013,2018-01-28,1,1,M,44
299,2018-0014,2018-01-31,2,2,M,0
300,2018-0015,2018-02-06,1,1,M,28
301,2018-0015,2018-02-06,3,1,M,19
302,2018-0016,2018-02-15,1,1,M,31
303,2018-0017,2018-02-17,2,2,M,35
304,2018-0018,2018-02-17,1,1,M,26
305,2018-0019,2018-02-17,2,2,F,80
306,2018-0020,2018-02-19,1,1,M,26
307,2018-0021,2018-02-22,2,2,F,62
308,2018-0022,2018-02-24,1,1,M,28
309,2018-0023,2018-02-24,1,1,M,28
310,2018-0024,2018-02-28,2,2,M,70
311,2018-0025,2018-03-04,2,2,M,70
312,2018-0026,2018-03-09,1,7,M,24
313,2018-0026,2018-03-09,3,7,M,30
314,2018-0027,2018-03-11,2,2,F,74
315,2018-0028,2018-03-13,2,2,M,71
316,2018-0029,2018-03-15,1,1,M,26
317,2018-0030,2018-03-20,1,1,M,24
318,2018-0031,2018-03-28,1,1,M,31
319,2018-0032,2018-04-02,2,2,M,70
320,2018-0033,2018-04-07,1,1,F,42
321,2018-0034,2018-04-11,2,2,M,24
322,2018-0035,2018-04-12,2,2,F,39
323,2018-0036,2018-04-13,1,1,M,37
324,2018-0037,2018-04-18,2,2,M,84
325,2018-0038,2018-04-20,2,2,F,59
326,2018-0038,2018-04-20,2,2,M,61
327,2018-0039,2018-04-21,2,2,M,37
328,2018-0040,2018-04-27,2,2,F,0
329,2018-0041,2018-04-27,2,2,F,78
330,2018-0042,2018-04-27,3,1,M,23
331,2018-0043,2018-04-28,1,1,M,25
332,2018-0044,2018-04-28,2,2,F,50
333,2018-0045,2018-04-30,1,3,M,60
334,2018-0046,2018-05-02,2,2,M,11
335,2018-0047,2018-05-08,2,2,M,82
336,2018-0048,2018-05-09,2,2,M,57
337,2018-0049,2018-05-11,2,2,F,40
338,2018-0050,2018-05-14,2,2,F,47
339,2018-0051,2018-05-15,2,2,F,57
340,2018-0052,2018-05-18,2,2,M,78
341,2018-0053,2018-05-20,1,1,M,43
342,2018-0054,2018-05-22,2,2,F,86
343,2018-0055,2018-05-29,1,1,M,21
344,2018-0056,2018-06-02,2,2,F,69
345,2018-0057,2018-06-03,1,1,M,33
346,2018-0058,2018-06-03,1,1,M,26
347,2018-0059,2018-06-08,1,1,M,54
348,2018-0060,2018-06-08,2,2,M,51
349,2018-0061,2018-06-10,1,1,M,51
350,2018-0062,2018-06-14,2,2,M,32
351,2018-0063,2018-06-16,2,2,F,28
352,2018-0064,2018-06-25,1,3,M,30
353,2018-0065,2018-06-26,1,1,M,35
354,2018-0066,2018-06-28,2,2,M,73
355,2018-0067,2018-06-29,3,6,F,81
356,2018-0068,2018-07-01,1,1,M,21
357,2018-0069,2018-07-04,4,4,M,20
358,2018-0070,2018-07-07,1,1,M,33
359,2018-0071,2018-07-10,1,1,M,0
360,2018-0072,2018-07-11,1,1,M,27
361,2018-0073,2018-07-11,2,2,F,67
362,2018-0074,2018-07-14,1,3,M,25
363,2018-0075,2018-07-15,2,2,M,23
364,2018-0076,2018-07-16,1,3,M,73
365,2018-0077,2018-07-16,1,3,M,58
366,2018-0078,2018-07-21,2,2,M,27
367,2018-0079,2018-07-23,2,2,M,0
368,2018-0080,2018-07-25,2,2,M,26
369,2018-0081,2018-07-29,2,2,M,35
370,2018-0082,2018-08-01,1,1,F,17
371,2018-0083,2018-08-02,1,1,M,0
372,2018-0084,2018-08-03,2,2,M,45
373,2018-0085,2018-08-03,3,1,F,22
374,2018-0085,2018-08-03,1,1,M,30
375,2018-0086,2018-08-10,2,2,M,40
376,2018-0087,2018-08-15,2,2,M,75
377,2018-0088,2018-08-17,1,1,M,0
378,2018-0089,2018-08-17,2,2,M,80
379,2018-0090,2018-08-18,1,1,M,27
380,2018-0091,2018-08-19,3,3,F,23
381,2018-0092,2018-08-20,1,1,M,23
382,2018-0093,2018-08-20,2,2,M,24
383,2018-0094,2018-08-23,1,1,M,32
384,2018-0095,2018-08-26,3,3,F,49
385,2018-0096,2018-08-31,2,2,M,39
386,2018-0097,2018-09-02,1,3,F,35
387,2018-0098,2018-09-09,1,3,M,55
388,2018-0098,2018-09-09,3,3,M,54
389,2018-0099,2018-09-12,2,2,M,18
390,2018-0100,2018-09-20,0,1,F,33
391,2018-0101,2018-09-21,1,3,M,0
392,2018-0102,2018-09-21,1,1,M,20
393,2018-0103,2018-09-27,2,2,M,1
394,2018-0104,2018-10-01,1,1,M,22
395,2018-0105,2018-10-03,2,2,F,56
396,2018-0106,2018-10-04,1,1,M,27
397,2018-0107,2018-10-06,2,2,F,62
398,2018-0108,2018-10-09,1,1,M,37
399,2018-0109,2018-10-10,2,2,M,34
400,2018-0110,2018-10-13,2,2,M,60
401,2018-0111,2018-10-19,1,1,M,28
402,2018-0112,2018-10-24,1,1,F,28
403,2018-0113,2018-10-25,1,1,M,20
404,2018-0114,2018-10-30,1,1,M,23
405,2018-0115,2018-10-31,2,2,M,42
406,2018-0116,2018-11-01,2,2,M,48
407,2018-0117,2018-11-04,1,1,M,30
408,2018-0118,2018-11-05,2,2,F,80
409,2018-0119,2018-11-05,2,2,F,32
410,2018-0120,2018-11-09,2,2,F,51
411,2018-0121,2018-11-09,2,2,F,72
412,2018-0122,2018-11-12,1,3,M,33
413,2018-0123,2018-11-12,1,3,M,25
414,2018-0124,2018-11-15,1,5,M,44
415,2018-0125,2018-11-16,2,2,M,29
416,2018-0126,2018-11-18,1,1,M,27
417,2018-0127,2018-11-19,1,1,M,29
418,2018-0128,2018-11-25,3,3,M,49
419,2018-0128,2018-11-25,3,3,F,39
420,2018-0129,2018-11-28,1,1,M,37
421,2018-0130,2018-12-03,1,1,M,0
422,2018-0131,2018-12-07,1,1,M,29
423,2018-0132,2018-12-12,2,2,M,70
424,2018-0133,2018-12-12,2,2,F,60
425,2018-0134,2018-12-12,2,2,M,56
426,2018-0135,2018-12-18,2,2,M,80
427,2018-0136,2018-12-18,2,2,F,70
428,2018-0137,2018-12-18,3,1,M,29
429,2018-0138,2018-12-21,3,6,F,79
430,2018-0139,2018-12-22,3,1,M,28
431,2018-0140,2018-12-22,1,3,M,78
432,2018-0141,2018-12-22,2,2,M,75
433,2018-0142,2018-12-25,3,5,M,32
434,2018-0143,2018-12-29,1,1,M,22
435,2019-0001,2019-01-08,1,1,M,25
436,2019-0002,2019-01-09,1,3,M,32
437,2019-0003,2019-01-12,1,1,M,23
438,2019-0004,2019-01-14,1,3,M,71
439,2019-0005,2019-01-19,1,1,M,43
440,2019-0006,2019-01-23,2,2,F,12
441,2019-0007,2019-01-26,1,1,M,35
442,2019-0008,2019-01-30,1,1,M,42
443,2019-0009,2019-01-31,1,1,M,34
444,2019-0010,2019-02-02,2,2,M,0
445,2019-0010,2019-02-02,2,2,M,59
446,2019-0011,2019-02-10,2,2,M,0
447,2019-0012,2019-02-17,1,1,M,31
448,2019-0013,2019-02-20,2,2,M,39
449,2019-0014,2019-02-20,1,1,M,69
450,2019-0015,2019-02-23,1,3,M,21
451,2019-0016,2019-02-24,1,1,M,40
452,2019-0017,2019-03-03,1,3,M,22
453,2019-0018,2019-03-03,2,2,F,29
454,2019-0019,2019-03-06,1,1,M,0
455,2019-0020,2019-03-07,1,1,M,43
456,2019-0021,2019-03-15,1,1,M,23
457,2019-0022,2019-03-15,3,3,M,0
458,2019-0023,2019-03-16,1,3,M,34
459,2019-0024,2019-03-19,1,1,M,32
460,2019-0025,2019-03-22,2,2,M,27
461,2019-0026,2019-03-28,2,2,M,0
462,2019-0027,2019-03-28,4,4,M,37
463,2019-0028,2019-04-06,2,2,F,0
464,2019-0029,2019-04-07,1,1,M,27
465,2019-0030,2019-04-09,1,1,M,25
466,2019-0031,2019-04-12,4,4,M,20
467,2019-0032,2019-04-16,2,2,F,83
468,2019-0033,2019-04-18,1,1,M,25
469,2019-0034,2019-04-21,1,1,M,0
470,2019-0035,2019-04-23,2,2,F,75
471,2019-0036,2019-04-26,1,1,M,34
472,2019-0037,2019-05-01,1,1,M,17
473,2019-0038,2019-05-04,2,2,F,42
474,2019-0105,2019-05-05,2,2,F,82
475,2019-0039,2019-05-09,1,1,M,28
476,2019-0040,2019-05-09,1,1,M,44
477,2019-0041,2019-05-11,3,3,F,78
478,2019-0042,2019-05-14,2,2,M,39
479,2019-0043,2019-05-21,4,4,F,0
480,2019-0044,2019-05-27,2,2,F,77
481,2019-0045,2019-06-03,1,1,M,33
482,2019-0046,2019-06-04,3,1,F,26
483,2019-0047,2019-06-06,2,2,M,76
484,2019-0048,2019-06-07,1,1,M,32
485,2019-0049,2019-06-08,2,2,F,72
486,2019-0050,2019-06-08,1,1,M,21
487,2019-0051,2019-06-11,1,1,M,41
488,2019-0053,2019-06-14,3,3,M,49
489,2019-0054,2019-06-20,1,1,M,21
490,2019-0055,2019-06-20,1,1,M,47
491,2019-0056,2019-06-29,2,2,F,75
492,2019-0057,2019-07-05,2,2,F,63
493,2019-0058,2019-07-10,1,1,M,39
494,2019-0059,2019-07-13,1,1,M,30
495,2019-0060,2019-07-17,2,2,F,78
496,2019-0061,2019-07-17,2,2,F,58
497,2019-0062,2019-08-01,2,2,F,60
498,2019-0063,2019-08-04,3,1,M,0
499,2019-0064,2019-08-06,1,1,M,20
500,2019-0065,2019-08-08,2,2,F,55
501,2019-0066,2019-08-11,2,2,M,40
502,2019-0067,2019-08-14,1,1,M,35
503,2019-0068,2019-08-14,1,1,M,53
504,2019-0069,2019-08-17,1,1,M,43
505,2019-0070,2019-08-22,1,1,M,25
506,2019-0071,2019-08-27,2,2,M,0
507,2019-0072,2019-08-28,1,3,M,22
508,2019-0073,2019-08-29,1,3,M,29
509,2019-0074,2019-08-29,1,1,M,35
510,2019-0075,2019-08-30,1,1,M,31
511,2019-0076,2019-09-05,1,1,F,29
512,2019-0077,2019-09-08,2,2,F,28
513,2019-0078,2019-09-12,2,2,F,72
514,2019-0079,2019-09-17,1,1,M,57
515,2019-0080,2019-09-17,2,2,M,76
516,2019-0081,2019-09-23,2,2,M,67
517,2019-0082,2019-09-25,4,4,M,47
518,2019-0083,2019-09-26,1,3,M,73
519,2019-0084,2019-09-27,4,4,F,40
520,2019-0085,2019-10-09,4,4,M,20
521,2019-0086,2019-10-15,1,1,M,29
522,2019-0087,2019-10-21,1,1,M,41
523,2019-0088,2019-10-22,2,2,M,27
524,2019-0089,2019-10-23,2,2,F,92
525,2019-0090,2019-10-24,2,2,M,67
526,2019-0091,2019-11-01,2,2,M,35
527,2019-0092,2019-11-03,2,2,M,37
528,2019-0093,2019-11-13,4,4,M,16
529,2019-0094,2019-11-18,3,1,F,0
530,2019-0095,2019-11-20,1,1,M,0
531,2019-0096,2019-11-22,2,2,M,73
532,2019-0097,2019-11-25,3,1,F,23
533,2019-0098,2019-11-25,3,6,F,61
534,2019-0100,2019-12-05,1,1,M,38
535,2019-0101,2019-12-17,1,1,M,25
536,2019-0102,2019-12-17,1,1,M,18
537,2019-0103,2019-12-18,1,1,M,24
538,2019-0104,2019-12-21,3,1,F,23
539,2020-0001,2020-01-04,2,2,F,87
540,2020-0002,2020-01-05,1,1,M,36
541,2020-0003,2020-01-11,2,2,M,44
542,2020-0004,2020-01-14,2,2,M,82
543,2020-0005,2020-01-14,1,1,M,25
544,2020-0006,2020-01-20,1,1,M,23
545,2020-0007,2020-01-27,2,2,M,52
546,2020-0008,2020-01-30,1,1,M,49
547,2020-0009,2020-02-04,2,2,M,48
548,2020-0010,2020-02-08,1,1,M,0
549,2020-0011,2020-02-12,1,1,M,31
550,2020-0012,2020-02-18,2,2,F,66
551,2020-0013,2020-02-20,2,2,F,58
552,2020-0014,2020-02-27,1,1,M,0
553,2020-0015,2020-02-28,1,1,M,29
554,2020-0016,2020-02-29,2,2,M,68
555,2020-0017,2020-03-05,2,2,M,0
556,2020-0018,2020-03-09,1,1,M,31
557,2020-0019,2020-03-10,2,2,F,80
558,2020-0020,2020-03-13,2,2,F,74
559,2020-0021,2020-03-14,2,2,F,87
560,2020-0022,2020-04-07,3,3,M,44
561,2020-0023,2020-04-09,1,3,M,44
562,2020-0024,2020-04-24,1,3,M,53
563,2020-0025,2020-05-12,2,2,M,0
564,2020-0026,2020-05-17,1,1,M,28
565,2020-0027,2020-05-18,2,2,M,76
566,2020-0028,2020-05-19,2,2,M,91
567,2020-0029,2020-06-10,2,2,M,80
568,2020-0030,2020-06-16,1,1,M,40
569,2020-0031,2020-06-30,1,1,M,29
570,2020-0032,2020-07-10,1,1,M,21
571,2020-0033,2020-07-19,1,3,M,32
572,2020-0034,2020-08-02,2,2,F,0
573,2020-0035,2020-08-04,1,1,M,40
574,2020-0036,2020-08-07,2,2,M,72
575,2020-0037,2020-08-29,2,2,M,38
576,2020-0038,2020-08-30,1,3,M,46
577,2020-0038,2020-08-30,1,3,M,64
578,2020-0039,2020-09-01,2,2,M,44
579,2020-0040,2020-09-12,1,3,M,0
580,2020-0041,2020-09-28,1,1,M,34
581,2020-0042,2020-09-29,2,2,F,53
582,2020-0043,2020-09-30,2,2,M,64
583,2020-0044,2020-10-05,1,3,M,43
584,2020-0045,2020-10-19,1,3,M,50
585,2020-0046,2020-10-27,1,1,M,41
586,2020-0047,2020-10-27,2,2,M,15
587,2020-0048,2020-10-29,1,1,M,41
588,2020-0049,2020-10-30,2,2,M,36
589,2020-0050,2020-11-01,2,2,F,28
590,2020-0051,2020-11-05,1,1,M,49
591,2020-0052,2020-11-07,4,4,M,44
592,2020-0053,2020-11-09,3,3,M,27
593,2020-0054,2020-11-19,4,4,M,59
594,2020-0055,2020-11-19,2,2,M,91
595,2020-0056,2020-11-21,1,1,F,34
596,2020-0057,2020-11-23,2,2,M,84
597,2020-0058,2020-11-24,2,2,M,57
598,2020-0059,2020-12-01,2,2,F,49
599,2020-0060,2020-12-03,2,2,F,69
600,2020-0061,2020-12-03,1,1,M,45
601,2020-0062,2020-12-04,4,4,M,47
